binned_coordinates,updated_type,updated_subtype,hour,Count,type_subtype,longitude,latitude
"(-87.61, 41.71)",Accident,Major,12,5,Accident - Major,-87.61,41.71
"(-87.7, 41.83)",Accident,Major,12,5,Accident - Major,-87.7,41.83
"(-87.68, 41.88)",Accident,Major,12,5,Accident - Major,-87.68,41.88
"(-87.82, 41.98)",Accident,Major,12,5,Accident - Major,-87.82,41.98
"(-87.73, 41.87)",Accident,Major,12,5,Accident - Major,-87.73,41.87
"(-87.72, 41.87)",Accident,Major,12,5,Accident - Major,-87.72,41.87
"(-87.64, 41.86)",Accident,Major,13,13,Accident - Major,-87.64,41.86
"(-87.68, 41.88)",Accident,Major,13,11,Accident - Major,-87.68,41.88
"(-87.64, 41.85)",Accident,Major,13,10,Accident - Major,-87.64,41.85
"(-87.61, 41.71)",Accident,Major,13,9,Accident - Major,-87.61,41.71
"(-87.63, 41.82)",Accident,Major,13,9,Accident - Major,-87.63,41.82
"(-87.63, 41.84)",Accident,Major,13,8,Accident - Major,-87.63,41.84
"(-87.72, 41.87)",Accident,Major,13,7,Accident - Major,-87.72,41.87
"(-87.64, 41.87)",Accident,Major,13,7,Accident - Major,-87.64,41.87
"(-87.75, 41.96)",Accident,Major,13,7,Accident - Major,-87.75,41.96
"(-87.63, 41.81)",Accident,Major,13,6,Accident - Major,-87.63,41.81
"(-87.64, 41.85)",Accident,Major,14,11,Accident - Major,-87.64,41.85
"(-87.76, 41.97)",Accident,Major,14,9,Accident - Major,-87.76,41.97
"(-87.63, 41.81)",Accident,Major,14,8,Accident - Major,-87.63,41.81
"(-87.73, 41.95)",Accident,Major,14,7,Accident - Major,-87.73,41.95
"(-87.71, 41.94)",Accident,Major,14,7,Accident - Major,-87.71,41.94
"(-87.64, 41.87)",Accident,Major,14,6,Accident - Major,-87.64,41.87
"(-87.7, 41.87)",Accident,Major,14,5,Accident - Major,-87.7,41.87
"(-87.62, 41.73)",Accident,Major,14,5,Accident - Major,-87.62,41.73
"(-87.79, 41.98)",Accident,Major,14,5,Accident - Major,-87.79,41.98
"(-87.74, 41.87)",Accident,Major,14,5,Accident - Major,-87.74,41.87
"(-87.64, 41.87)",Accident,Major,15,8,Accident - Major,-87.64,41.87
"(-87.66, 41.9)",Accident,Major,15,7,Accident - Major,-87.66,41.9
"(-87.64, 41.86)",Accident,Major,15,7,Accident - Major,-87.64,41.86
"(-87.72, 41.87)",Accident,Major,15,7,Accident - Major,-87.72,41.87
"(-87.66, 41.88)",Accident,Major,15,7,Accident - Major,-87.66,41.88
"(-87.76, 41.97)",Accident,Major,15,6,Accident - Major,-87.76,41.97
"(-87.65, 41.89)",Accident,Major,15,6,Accident - Major,-87.65,41.89
"(-87.63, 41.79)",Accident,Major,15,6,Accident - Major,-87.63,41.79
"(-87.63, 41.84)",Accident,Major,15,6,Accident - Major,-87.63,41.84
"(-87.63, 41.85)",Accident,Major,15,5,Accident - Major,-87.63,41.85
"(-87.76, 41.97)",Accident,Major,16,11,Accident - Major,-87.76,41.97
"(-87.64, 41.87)",Accident,Major,16,10,Accident - Major,-87.64,41.87
"(-87.66, 41.9)",Accident,Major,16,9,Accident - Major,-87.66,41.9
"(-87.65, 41.88)",Accident,Major,16,8,Accident - Major,-87.65,41.88
"(-87.64, 41.85)",Accident,Major,16,7,Accident - Major,-87.64,41.85
"(-87.65, 41.89)",Accident,Major,16,7,Accident - Major,-87.65,41.89
"(-87.63, 41.82)",Accident,Major,16,6,Accident - Major,-87.63,41.82
"(-87.63, 41.79)",Accident,Major,16,6,Accident - Major,-87.63,41.79
"(-87.63, 41.85)",Accident,Major,16,5,Accident - Major,-87.63,41.85
"(-87.63, 41.8)",Accident,Major,16,4,Accident - Major,-87.63,41.8
"(-87.64, 41.87)",Accident,Major,17,9,Accident - Major,-87.64,41.87
"(-87.66, 41.9)",Accident,Major,17,8,Accident - Major,-87.66,41.9
"(-87.65, 41.88)",Accident,Major,17,8,Accident - Major,-87.65,41.88
"(-87.72, 41.87)",Accident,Major,17,7,Accident - Major,-87.72,41.87
"(-87.75, 41.97)",Accident,Major,17,7,Accident - Major,-87.75,41.97
"(-87.63, 41.79)",Accident,Major,17,7,Accident - Major,-87.63,41.79
"(-87.73, 41.87)",Accident,Major,17,7,Accident - Major,-87.73,41.87
"(-87.63, 41.84)",Accident,Major,17,7,Accident - Major,-87.63,41.84
