binned_coordinates,updated_type,updated_subtype,Count,type_subtype,longitude,latitude
"(-87.78, 41.98)",Jam,Stand-Still Traffic,1913,Jam - Stand-Still Traffic,-87.78,41.98
"(-87.65, 41.89)",Jam,Unclassified,1086,Jam - Unclassified,-87.65,41.89
"(-87.66, 41.9)",Jam,Unclassified,973,Jam - Unclassified,-87.66,41.9
"(-87.65, 41.88)",Jam,Unclassified,944,Jam - Unclassified,-87.65,41.88
"(-87.71, 41.94)",Jam,Unclassified,624,Jam - Unclassified,-87.71,41.94
"(-87.67, 41.92)",Jam,Unclassified,612,Jam - Unclassified,-87.67,41.92
"(-87.79, 41.98)",Jam,Unclassified,610,Jam - Unclassified,-87.79,41.98
"(-87.78, 41.98)",Jam,Unclassified,604,Jam - Unclassified,-87.78,41.98
"(-87.69, 41.93)",Jam,Unclassified,593,Jam - Unclassified,-87.69,41.93
"(-87.64, 41.85)",Jam,Unclassified,582,Jam - Unclassified,-87.64,41.85
"(-87.66, 41.91)",Jam,Unclassified,581,Jam - Unclassified,-87.66,41.91
"(-87.65, 41.88)",Road Closed,Construction,15,Road Closed - Construction,-87.65,41.88
"(-87.66, 41.9)",Road Closed,Construction,12,Road Closed - Construction,-87.66,41.9
"(-87.73, 41.97)",Road Closed,Construction,5,Road Closed - Construction,-87.73,41.97
"(-87.69, 41.96)",Road Closed,Construction,5,Road Closed - Construction,-87.69,41.96
"(-87.65, 41.94)",Road Closed,Construction,4,Road Closed - Construction,-87.65,41.94
"(-87.64, 41.87)",Road Closed,Construction,4,Road Closed - Construction,-87.64,41.87
"(-87.74, 41.97)",Road Closed,Construction,4,Road Closed - Construction,-87.74,41.97
"(-87.69, 41.89)",Road Closed,Construction,4,Road Closed - Construction,-87.69,41.89
"(-87.76, 41.95)",Road Closed,Construction,3,Road Closed - Construction,-87.76,41.95
"(-87.75, 41.97)",Road Closed,Construction,3,Road Closed - Construction,-87.75,41.97
"(-87.75, 41.96)",Road Closed,Event,9907,Road Closed - Event,-87.75,41.96
"(-87.65, 41.88)",Road Closed,Event,5002,Road Closed - Event,-87.65,41.88
"(-87.63, 41.84)",Road Closed,Event,4974,Road Closed - Event,-87.63,41.84
"(-87.65, 41.89)",Road Closed,Event,4964,Road Closed - Event,-87.65,41.89
"(-87.6, 41.69)",Road Closed,Event,4964,Road Closed - Event,-87.6,41.69
"(-87.64, 41.71)",Road Closed,Event,4947,Road Closed - Event,-87.64,41.71
"(-87.75, 41.97)",Road Closed,Event,4932,Road Closed - Event,-87.75,41.97
"(-87.62, 41.88)",Road Closed,Event,291,Road Closed - Event,-87.62,41.88
"(-87.62, 41.87)",Road Closed,Event,233,Road Closed - Event,-87.62,41.87
"(-87.64, 41.94)",Road Closed,Event,116,Road Closed - Event,-87.64,41.94
"(-87.66, 41.98)",Road Closed,Hazard,2,Road Closed - Hazard,-87.66,41.98
"(-87.71, 41.76)",Road Closed,Hazard,1,Road Closed - Hazard,-87.71,41.76
"(-87.64, 41.83)",Road Closed,Hazard,1,Road Closed - Hazard,-87.64,41.83
"(-87.67, 41.93)",Road Closed,Hazard,1,Road Closed - Hazard,-87.67,41.93
"(-87.67, 41.84)",Road Closed,Hazard,1,Road Closed - Hazard,-87.67,41.84
"(-87.65, 41.89)",Road Closed,Hazard,1,Road Closed - Hazard,-87.65,41.89
"(-87.66, 41.99)",Road Closed,Hazard,1,Road Closed - Hazard,-87.66,41.99
"(-87.72, 41.99)",Road Closed,Hazard,1,Road Closed - Hazard,-87.72,41.99
"(-87.75, 41.99)",Road Closed,Hazard,1,Road Closed - Hazard,-87.75,41.99
"(-87.62, 41.89)",Road Closed,Hazard,1,Road Closed - Hazard,-87.62,41.89
"(-87.65, 41.88)",Road Closed,Unclassified,979,Road Closed - Unclassified,-87.65,41.88
"(-87.66, 41.9)",Road Closed,Unclassified,585,Road Closed - Unclassified,-87.66,41.9
"(-87.62, 41.88)",Road Closed,Unclassified,420,Road Closed - Unclassified,-87.62,41.88
"(-87.63, 41.9)",Road Closed,Unclassified,384,Road Closed - Unclassified,-87.63,41.9
"(-87.62, 41.87)",Road Closed,Unclassified,367,Road Closed - Unclassified,-87.62,41.87
"(-87.65, 41.95)",Road Closed,Unclassified,329,Road Closed - Unclassified,-87.65,41.95
"(-87.65, 41.94)",Road Closed,Unclassified,314,Road Closed - Unclassified,-87.65,41.94
"(-87.64, 41.87)",Road Closed,Unclassified,257,Road Closed - Unclassified,-87.64,41.87
"(-87.65, 41.89)",Road Closed,Unclassified,254,Road Closed - Unclassified,-87.65,41.89
"(-87.7, 41.96)",Road Closed,Unclassified,250,Road Closed - Unclassified,-87.7,41.96
